match_id,team,minute,color,dice,player
54,South Africa,72,yellow,,Aubrey Modiba
54,South Korea,78,yellow,,Cho Gue-sung
55,Ecuador,43,yellow,,Piero Hincapié
55,Ecuador,50,yellow,,Alan Franco
55,Ecuador,89,yellow,,Gonzalo Plata
55,Germany,44,yellow,,Aleksandar Pavlović
56,Curaçao,75,yellow,,Juninho Bacuna
56,Curaçao,83,yellow,,Gervane Kastaneer
56,Ivory Coast,34,yellow,,Nicolas Pépé
57,Sweden,32,yellow,,Isak Hien
57,Japan,77,yellow,,Shōgo Taniguchi
57,Sweden,84,yellow,,Viktor Gyökeres
59,USA,19,yellow,,Sebastian Berhalter
60,Australia,46,yellow,,Jackson Irvine
60,Paraguay,77,yellow,,Diego Gómez
61,Norway,10,yellow,,Patrick Berg
61,France,74,yellow,,Aurélien Tchouaméni
62,Senegal,18,yellow,,Abdoulaye Seck
62,Senegal,81,yellow,,Pape Gueye
62,Iraq,75,yellow,,Amir Al-Ammari
62,Iraq,90,yellow,,Merchas Doski
62,Iraq,13,red,4,Rebin Sulaka
63,Cape Verde,8,yellow,,Wagner Pina
63,Saudi Arabia,3:08,yellow,,Saud Abdulhamid
63,Saudi Arabia,67,yellow,,Nasser Al-Dawsari
63,Saudi Arabia,90+3,yellow,,Firas Al-Buraikan
64,Uruguay,54,yellow,,Juan Manuel Sanabria
64,Uruguay,58,yellow,,Guillermo Varela
64,Uruguay,90+3,yellow,,Nicolás de la Cruz
64,Spain,46,yellow,,Álex Baena
64,Uruguay,90+4,red,1,Agustín Canobbio
65,Egypt,19,yellow,,Mahmoud Saber
65,Egypt,41,yellow,,Yasser Ibrahim
65,Egypt,90+2,yellow,,Mohanad Lasheen
65,Iran,19,yellow,,Hossein Kanaanizadegan
65,Iran,43,yellow,,Ali Nemati
65,Iran,79,yellow,,Saeid Ezatolahi
65,Iran,90+4,yellow,,Shojae Khalilzadeh
66,New Zealand,46,yellow,,Marko Stamenić
66,New Zealand,56,yellow,,Elijah Just
67,England,60,yellow,,Jarell Quansah
67,Panama,53,yellow,,José Fajardo
67,Panama,83,yellow,,Andrés Andrade
68,Croatia,68,yellow,,Ivan Perišić
68,Ghana,90+4,yellow,,Kojo Peprah Oppong
69,Colombia,86,yellow,,Gustavo Puerta
70,DR Congo,21,yellow,,Noah Sadiki
70,DR Congo,45+4,yellow,,Nathanaël Mbuku
70,Uzbekistan,43,yellow,,Abdukodir Khusanov
70,Uzbekistan,47,yellow,,Sherzod Nasrullaev
71,Austria,11,yellow,,Marko Arnautović
72,Jordan,17,yellow,,Mohannad Abu Taha
72,Jordan,64,yellow,,Yazan Al-Arab
72,Jordan,90+4,yellow,,Mohammad Abu Zrayq
73,Canada,54,yellow,,Nathan Saliba
73,Canada,67,yellow,,Niko Sigur
74,Japan,12,yellow,,Kaishu Sano
74,Brazil,14,yellow,,Carlos Casemiro
74,Japan,45,yellow,,Daichi Kamada
74,Brazil,48,yellow,,Danilo
74,Japan,84,yellow,,Junnosuke Suzuki
75,Germany,106,yellow,,Kai Havertz
75,Germany,115,yellow,,Jamal Musiala
