date,kickoff,stage,group,home,away,venue
2026-07-01,21:00 BST,Round of 32,,Belgium,Senegal,Seattle
2026-07-02,01:00 BST,Round of 32,,USA,Bosnia & Herzegovina,San Francisco Bay Area (Santa Clara)
2026-07-02,20:00 BST,Round of 32,,Spain,Austria,Los Angeles (Inglewood)
2026-07-03,00:00 BST,Round of 32,,Portugal,Croatia,Toronto
2026-07-03,04:00 BST,Round of 32,,Switzerland,Algeria,Vancouver
2026-07-03,19:00 BST,Round of 32,,Australia,Egypt,Dallas (Arlington)
2026-07-03,23:00 BST,Round of 32,,Argentina,Cape Verde,Miami (Miami Gardens)
2026-07-04,02:30 BST,Round of 32,,Colombia,Ghana,Kansas City
2026-07-04,18:00 BST,Round of 16,,Canada,Morocco,Houston
2026-07-04,22:00 BST,Round of 16,,Paraguay,France,Philadelphia
2026-07-05,21:00 BST,Round of 16,,Brazil,Norway,New York/New Jersey (East Rutherford)
2026-07-06,03:00 BST,Round of 16,,Mexico,England,Mexico City
2026-07-06,21:00 BST,Round of 16,,Portugal,Spain,Dallas (Arlington)
2026-07-07,01:00 BST,Round of 16,,USA,Belgium,Seattle
2026-07-07,17:00 BST,Round of 16,,Argentina,Egypt,Atlanta
2026-07-08,00:00 BST,Round of 16,,Switzerland,Colombia,Vancouver
2026-07-09,21:00 BST,Quarter-final,,Morocco,France,Boston (Foxborough)
2026-07-10,20:00 BST,Quarter-final,,Spain,Belgium,Los Angeles (Inglewood)
2026-07-11,22:00 BST,Quarter-final,,Norway,England,Miami (Miami Gardens)
2026-07-12,02:00 BST,Quarter-final,,Argentina,Switzerland,Kansas City
2026-07-14,20:00 BST,Semi-final,,France,Spain,Dallas (Arlington)
2026-07-15,20:00 BST,Semi-final,,W99,W100,Atlanta
2026-07-18,22:00 BST,3rd place,,L101,L102,Miami (Miami Gardens)
2026-07-19,20:00 BST,Final,,W101,W102,New York/New Jersey (East Rutherford)
